Fecha,CodigoFecha,SBS
09Jun99,635,3.347
10Jun99,636,3.35
11Jun99,637,3.347
14Jun99,638,3.342
15Jun99,639,3.339
16Jun99,640,3.337
17Jun99,641,3.334
18Jun99,642,3.336
21Jun99,643,3.34
22Jun99,644,3.338
23Jun99,645,3.34
24Jun99,646,3.343
25Jun99,647,3.341
28Jun99,648,3.342
29Jun99,649,2.6
30Jun99,650,3.337
01Jul99,651,3.338
02Jul99,652,3.331
05Jul99,653,3.328
06Jul99,654,3.325
07Jul99,655,3.327
08Jul99,656,3.322
09Jul99,657,3.323
12Jul99,658,3.325
13Jul99,659,3.329
14Jul99,660,3.322
15Jul99,661,3.317
16Jul99,662,3.315
19Jul99,663,3.315
20Jul99,664,3.319
21Jul99,665,3.318
22Jul99,666,3.324
23Jul99,667,3.323
26Jul99,668,3.333
27Jul99,669,3.332
28Jul99,670,2.6
29Jul99,671,2.6
30Jul99,672,3.338
02Ago99,673,3.339
03Ago99,674,3.353
04Ago99,675,3.349
05Ago99,676,3.355
06Ago99,677,3.359
09Ago99,678,3.368
10Ago99,679,3.385
11Ago99,680,3.372
12Ago99,681,3.361
13Ago99,682,3.361
16Ago99,683,3.362
17Ago99,684,3.361
18Ago99,685,3.37
19Ago99,686,3.369
20Ago99,687,3.369
23Ago99,688,3.357
24Ago99,689,3.364
25Ago99,690,3.368
26Ago99,691,3.371
27Ago99,692,3.374
30Ago99,693,2.6
31Ago99,694,3.385
01Set99,695,3.389
02Set99,696,3.402
03Set99,697,3.399
06Set99,698,3.396
07Set99,699,3.415
08Set99,700,3.416
09Set99,701,3.411
10Set99,702,3.404
13Set99,703,3.398
14Set99,704,3.406
15Set99,705,3.408
16Set99,706,3.417
17Set99,707,3.416
20Set99,708,3.421
21Set99,709,3.423
22Set99,710,3.423
23Set99,711,3.432
24Set99,712,3.44
27Set99,713,3.449
28Set99,714,3.466
29Set99,715,3.461
30Set99,716,3.463
01Oct99,717,3.468
04Oct99,718,3.474
05Oct99,719,3.476
06Oct99,720,3.47
07Oct99,721,3.462
08Oct99,722,2.6
11Oct99,723,3.46
12Oct99,724,3.465
13Oct99,725,3.469
14Oct99,726,3.476
15Oct99,727,3.481
18Oct99,728,3.476
19Oct99,729,3.475
20Oct99,730,3.477
21Oct99,731,3.472
22Oct99,732,3.468
25Oct99,733,3.476
26Oct99,734,3.473
27Oct99,735,3.485
28Oct99,736,3.489
29Oct99,737,3.493
01Nov99,738,2.6
02Nov99,739,3.489
03Nov99,740,3.489
04Nov99,741,3.493
05Nov99,742,3.491
08Nov99,743,3.488
09Nov99,744,3.485
10Nov99,745,3.486
11Nov99,746,3.479
12Nov99,747,3.475
15Nov99,748,3.469
16Nov99,749,3.472
17Nov99,750,3.478
18Nov99,751,3.473
19Nov99,752,3.469
22Nov99,753,3.478
23Nov99,754,3.484
24Nov99,755,3.489
25Nov99,756,3.494
26Nov99,757,3.492
29Nov99,758,3.493
30Nov99,759,3.49
01Dic99,760,3.491
02Dic99,761,3.485
03Dic99,762,3.481
06Dic99,763,3.476
07Dic99,764,3.479
08Dic99,765,2.6
09Dic99,766,3.472
10Dic99,767,3.47
13Dic99,768,3.47
14Dic99,769,3.469
15Dic99,770,3.464
16Dic99,771,3.472
17Dic99,772,3.471
20Dic99,773,3.484
21Dic99,774,3.491
22Dic99,775,3.491
23Dic99,776,3.491
24Dic99,777,3.498
27Dic99,778,3.502
28Dic99,779,3.504
29Dic99,780,3.507
30Dic99,781,3.511
31Dic99,782,3.51
03Ene00,783,3.516
04Ene00,784,3.527
05Ene00,785,3.52
06Ene00,786,3.508
07Ene00,787,3.513
10Ene00,788,3.511
11Ene00,789,3.508
12Ene00,790,3.509
13Ene00,791,3.507
14Ene00,792,3.494
17Ene00,793,3.487
18Ene00,794,3.492
19Ene00,795,3.498
20Ene00,796,3.505
21Ene00,797,3.5
24Ene00,798,3.497
25Ene00,799,3.493
26Ene00,800,3.495
27Ene00,801,3.481
28Ene00,802,3.48
31Ene00,803,3.492
01Feb00,804,3.472
02Feb00,805,3.474
03Feb00,806,3.472
04Feb00,807,3.479
07Feb00,808,3.475
08Feb00,809,3.463
09Feb00,810,3.451
10Feb00,811,3.445
11Feb00,812,3.447
14Feb00,813,3.439
15Feb00,814,3.431
16Feb00,815,3.443
17Feb00,816,3.437
18Feb00,817,3.445
21Feb00,818,3.46
22Feb00,819,3.465
23Feb00,820,3.46
24Feb00,821,3.469
25Feb00,822,3.47
28Feb00,823,3.462
29Feb00,824,3.453
01Mar00,825,3.421
02Mar00,826,3.413
03Mar00,827,3.406
06Mar00,828,3.413
07Mar00,829,3.413
08Mar00,830,3.402
09Mar00,831,3.404
10Mar00,832,3.42
13Mar00,833,3.425
14Mar00,834,3.418
15Mar00,835,3.422
16Mar00,836,3.436
17Mar00,837,3.435
20Mar00,838,3.448
21Mar00,839,3.454
22Mar00,840,3.469
23Mar00,841,3.49
24Mar00,842,3.504
27Mar00,843,3.508
28Mar00,844,3.477
29Mar00,845,3.478
30Mar00,846,3.489
31Mar00,847,3.488
03Abr00,848,3.476
04Abr00,849,3.478
05Abr00,850,3.478
06Abr00,851,3.49
07Abr00,852,3.512
10Abr00,853,3.485
11Abr00,854,3.491
12Abr00,855,3.484
13Abr00,856,3.463
14Abr00,857,3.47
17Abr00,858,3.476
18Abr00,859,3.475
19Abr00,860,3.469
20Abr00,861,2.6
21Abr00,862,2.6
24Abr00,863,3.48
25Abr00,864,3.478
26Abr00,865,3.487
27Abr00,866,3.482
28Abr00,867,3.479
01May00,868,2.6
02May00,869,3.478
03May00,870,3.488
04May00,871,3.488
05May00,872,3.492
08May00,873,3.502
09May00,874,3.507
10May00,875,3.513
11May00,876,3.503
12May00,877,3.499
15May00,878,3.503
16May00,879,3.504
17May00,880,3.503
18May00,881,3.503
19May00,882,3.512
22May00,883,3.513
23May00,884,3.518
24May00,885,3.512
25May00,886,3.513
26May00,887,3.525
29May00,888,3.512
30May00,889,3.518
31May00,890,3.507
01Jun00,891,3.494
02Jun00,892,3.49
05Jun00,893,3.491
06Jun00,894,3.49
07Jun00,895,3.486
08Jun00,896,3.488
09Jun00,897,3.481
12Jun00,898,3.482
13Jun00,899,3.486
14Jun00,900,3.482
15Jun00,901,3.48
16Jun00,902,3.48
19Jun00,903,3.484
20Jun00,904,3.487
21Jun00,905,3.491
22Jun00,906,3.493
23Jun00,907,3.495
26Jun00,908,3.499
27Jun00,909,3.499
28Jun00,910,3.493
29Jun00,911,2.6
30Jun00,912,3.492
03Jul00,913,3.485
04Jul00,914,3.484
05Jul00,915,3.487
06Jul00,916,3.485
07Jul00,917,3.484
10Jul00,918,3.484
11Jul00,919,3.481
12Jul00,920,3.481
13Jul00,921,3.484
14Jul00,922,3.483
17Jul00,923,3.479
18Jul00,924,3.48
19Jul00,925,3.482
20Jul00,926,3.482
21Jul00,927,3.483
24Jul00,928,3.483
25Jul00,929,3.48
26Jul00,930,3.477
27Jul00,931,3.479
28Jul00,932,2.6
31Jul00,933,3.476
01Ago00,934,3.475
02Ago00,935,3.481
03Ago00,936,3.483
04Ago00,937,3.486
07Ago00,938,3.485
08Ago00,939,3.48
09Ago00,940,3.483
10Ago00,941,3.483
11Ago00,942,3.486
14Ago00,943,3.486
15Ago00,944,3.479
16Ago00,945,3.478
17Ago00,946,3.472
18Ago00,947,3.471
21Ago00,948,3.478
22Ago00,949,3.476
23Ago00,950,3.476
24Ago00,951,3.478
25Ago00,952,3.477
28Ago00,953,3.476
29Ago00,954,3.476
30Ago00,955,2.6
31Ago00,956,3.474
01Set00,957,3.472
04Set00,958,3.473
05Set00,959,3.475
06Set00,960,3.472
07Set00,961,3.473
08Set00,962,3.475
11Set00,963,3.475
12Set00,964,3.474
13Set00,965,3.473
14Set00,966,3.472
15Set00,967,3.474
18Set00,968,3.5
19Set00,969,3.499
20Set00,970,3.513
21Set00,971,3.491
22Set00,972,3.492
25Set00,973,3.489
26Set00,974,3.492
27Set00,975,3.498
28Set00,976,3.519
29Set00,977,3.51
02Oct00,978,3.495
03Oct00,979,3.491
04Oct00,980,3.497
05Oct00,981,3.504
06Oct00,982,3.503
09Oct00,983,3.501
10Oct00,984,3.5
11Oct00,985,3.502
12Oct00,986,3.496
13Oct00,987,3.492
16Oct00,988,3.488
17Oct00,989,3.493
18Oct00,990,3.498
19Oct00,991,3.493
20Oct00,992,3.495
23Oct00,993,3.509
24Oct00,994,3.51
25Oct00,995,3.51
26Oct00,996,3.51
27Oct00,997,3.515
30Oct00,998,3.522
31Oct00,999,3.515
01Nov00,1000,2.6
02Nov00,1001,3.506
03Nov00,1002,3.507
06Nov00,1003,3.516
07Nov00,1004,3.524
08Nov00,1005,3.526
09Nov00,1006,3.537
10Nov00,1007,3.528
13Nov00,1008,3.536
14Nov00,1009,3.535
15Nov00,1010,3.529
16Nov00,1011,3.532
17Nov00,1012,3.536
20Nov00,1013,3.548
21Nov00,1014,3.545
22Nov00,1015,3.54
23Nov00,1016,3.529
24Nov00,1017,3.529
27Nov00,1018,3.529
28Nov00,1019,3.533
29Nov00,1020,3.532
30Nov00,1021,3.531
01Dic00,1022,3.528
04Dic00,1023,3.524
05Dic00,1024,3.526
06Dic00,1025,3.529
07Dic00,1026,3.525
08Dic00,1027,2.6
11Dic00,1028,3.524
12Dic00,1029,3.526
13Dic00,1030,3.525
14Dic00,1031,3.521
15Dic00,1032,3.505
18Dic00,1033,3.506
19Dic00,1034,3.505
20Dic00,1035,3.514
21Dic00,1036,3.515
22Dic00,1037,3.516
25Dic00,1038,2.6
26Dic00,1039,3.518
27Dic00,1040,3.533
28Dic00,1041,3.534
29Dic00,1042,3.527
01Ene01,1043,2.6
02Ene01,1044,3.523
03Ene01,1045,3.521
04Ene01,1046,3.52
05Ene01,1047,3.518
08Ene01,1048,3.517
09Ene01,1049,3.518
10Ene01,1050,3.519
11Ene01,1051,3.517
12Ene01,1052,3.521
15Ene01,1053,3.522
16Ene01,1054,3.521
17Ene01,1055,3.519
18Ene01,1056,3.52
19Ene01,1057,3.522
22Ene01,1058,3.523
23Ene01,1059,3.527
24Ene01,1060,3.531
25Ene01,1061,3.528
26Ene01,1062,3.532
29Ene01,1063,3.538
30Ene01,1064,3.536
31Ene01,1065,3.536
01Feb01,1066,3.532
02Feb01,1067,3.531
05Feb01,1068,3.532
06Feb01,1069,3.53
07Feb01,1070,3.532
08Feb01,1071,3.533
09Feb01,1072,3.53
12Feb01,1073,3.532
13Feb01,1074,3.533
14Feb01,1075,3.531
15Feb01,1076,3.53
16Feb01,1077,3.527
19Feb01,1078,3.526
20Feb01,1079,3.526
21Feb01,1080,3.528
22Feb01,1081,3.529
23Feb01,1082,3.532
26Feb01,1083,3.527
27Feb01,1084,3.526
28Feb01,1085,3.524
01Mar01,1086,3.522
02Mar01,1087,3.52
05Mar01,1088,3.518
06Mar01,1089,3.517
07Mar01,1090,3.516
08Mar01,1091,3.518
09Mar01,1092,3.519
12Mar01,1093,3.518
13Mar01,1094,3.518
14Mar01,1095,3.518
15Mar01,1096,3.519
16Mar01,1097,3.523
19Mar01,1098,3.523
20Mar01,1099,3.522
21Mar01,1100,3.524
22Mar01,1101,3.525
23Mar01,1102,3.526
26Mar01,1103,3.522
27Mar01,1104,3.521
28Mar01,1105,3.522
29Mar01,1106,3.522
30Mar01,1107,3.525
02Abr01,1108,3.525
03Abr01,1109,3.526
04Abr01,1110,3.526
05Abr01,1111,3.527
06Abr01,1112,3.532
09Abr01,1113,3.54
10Abr01,1114,3.544
11Abr01,1115,3.543
12Abr01,1116,2.6
13Abr01,1117,2.6
16Abr01,1118,3.546
17Abr01,1119,3.561
18Abr01,1120,3.572
19Abr01,1121,3.576
20Abr01,1122,3.581
23Abr01,1123,3.588
24Abr01,1124,3.592
25Abr01,1125,3.593
26Abr01,1126,3.593
27Abr01,1127,3.593
30Abr01,1128,3.589
01May01,1129,2.6
02May01,1130,3.589
03May01,1131,3.597
04May01,1132,3.6
07May01,1133,3.596
08May01,1134,3.604
09May01,1135,3.613
10May01,1136,3.609
11May01,1137,3.604
14May01,1138,3.603
15May01,1139,3.6
16May01,1140,3.602
17May01,1141,3.599
18May01,1142,3.601
21May01,1143,3.596
22May01,1144,3.587
23May01,1145,3.589
24May01,1146,3.59
25May01,1147,3.593
28May01,1148,3.61
29May01,1149,3.615
30May01,1150,3.616
31May01,1151,3.623
01Jun01,1152,3.631
04Jun01,1153,3.576
05Jun01,1154,3.559
06Jun01,1155,3.554
07Jun01,1156,3.534
08Jun01,1157,3.5323
11Jun01,1158,3.518
12Jun01,1159,3.522
13Jun01,1160,3.516
14Jun01,1161,3.513
15Jun01,1162,3.515
18Jun01,1163,3.527
19Jun01,1164,3.524
20Jun01,1165,3.519
21Jun01,1166,3.52
22Jun01,1167,3.521
25Jun01,1168,3.522
26Jun01,1169,3.523
27Jun01,1170,3.519
28Jun01,1171,3.514
29Jun01,1172,2.6
